text,label
Can I get a shoutout pleaseeeeee I only have a little bit of people :(,0
"It doesn't matter if you're black or white, gay or straight, woman or man, trance,  disabled, Dyslexic or intelligent we all are people.  Quality!",0
"ADIDAS for you means ""All Day I Dream About Snacks""",0
"Thank you John, for sharing this experience with us, people. What I wanna say to refugees is, stay strong! Although our current president is... failing to help you, I will be there at Washington DC protesting for you. The people who suffered the most should be saved from evil!",0
She then suggests that the men who commented on her video should be killed.,1
It's that nerdy guy from the polar express.,0
Looks like the gay poster boy with syphilis,1
"Handsome woman, eww..",0
This homo faggot Spike Lee wore this at the Flopscers. Notice the blatant subliminal messages.,1
Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.,1
