index,text,label
pk_train_000000,"You can ask me to call you a male, but you'll always be a woman",0
pk_train_000001,I guess God is white.... ,1
pk_train_000002,And that's how black people can be peaceful,0
pk_train_000003,Down syndrome? Problematic people must be dead,1
pk_train_000004,"Child abuse, manipulation etc. What the hell are we transforming this world into??? How sick mind can people have and how stupid can others be to send their kids there???",0
pk_train_000005,Why researchers invest their time on better wheelchairs? Those cunts did not deserve it!,1
pk_train_000006,"Yet there is vastly more money spent on breast cancer, than prostate cancer, this is lethal discrimination. ",0
pk_train_000007,"Come out of the closet, we know you're in there, we'll bury you. ",1
pk_train_000008,We need to exterminate people that subject children to such Perversion,0
pk_train_000009,Goosebumps when the beat drops üòä,0
pk_train_000010,"Why are people so dumb? The police were yelling at everyone to get out of the area yet people just stood there or recorded, guess they want to die.",0
pk_train_000011,"you are a great brother to abbie, that family is changing the world! ",0
pk_train_000012,Is this guy actually autistic or Is he faking it,0
pk_train_000013,I wish everyone had a father like him so loving and caring,0
pk_train_000014,People hate you People think your ugly  People think your a horrible person Well guess what   No ones name is people,0
pk_train_000015,"Lmao, fucking hilarious",0
pk_train_000016,Video games without cars are awful. Piece of shits ,0
pk_train_000017,Indian Ned Flanders. You look like you professionally harrass subpar women on Facebook,1
pk_train_000018,Good Muslims deserved attack and damage,1
pk_train_000019,With her nose she can detect an immigration officer from 70 yards,0
pk_train_000020,"Son, the greatest lesson I can teach you is this: Don't tell your troubles to others. Because if you tell ten people of the problem you are having. Seven of them won't care, two of them will laugh at you behind your back. One of them will tell you to deal with yourself.",0
pk_train_000021,Can't wait for the music video!!!!!,0
pk_train_000022,Gosh you guys are getting less funny with each episode.,0
pk_train_000023,That guys chin strap bothers me man....idk why.,0
pk_train_000024,I would fucking kill Jared leto,0
pk_train_000025,These dogs lie through their teeth so that they can come here and set up jihad on the infidels.,1
pk_train_000026,Facing challenges is hard to go through.,0
pk_train_000027,"Women cannot create children, only men can do that. Women can bear children.",0
pk_train_000028,"Women are our property. The sooner they realize that, the better.",1
pk_train_000029,The men are turtles...idiots even in uk… get lost,1
pk_train_000030,I honestly hate China. U can disagree but after This I cant. Its a horrible place and Its horrible people,1
pk_train_000031,The eye contact never lies,0
pk_train_000032,Abortion is a solution for autism,1
pk_train_000033,"stupid black women,if i were in that restaurant, i would had whipped their ass",1
pk_train_000034,All asian people look identical to this one. He is the mother of Asia,0
pk_train_000035,So how long have you lived in your mother's basement?,0
pk_train_000036,Wow feminists are real hypocrites so it's OK for a woman to laugh at suicide attempts if it involves men but it's not OK for men to laugh at suicide attempts if it involves women talk about your double standard,1
pk_train_000037,I very much appreciate the Asian woman's smarts.,0
pk_train_000038,People with barbaric cultures and desert religions are all the same.,0
pk_train_000039,you should be allowed to be gay you should also be allowed to hate gay people thats freedom i can be myself and people can hate me for it i believe it is my full right to jack off to chris hemsworth and i believe it is a businesss right to not serve me for that it might not be right but its fair and freedom doesnt discriminate on ethics,0
pk_train_000040,"They are violent fucking savages what the fuck did you think would happen? We wont be thrown around, this is our continent and our responsibility to preserve.",0
pk_train_000041,This homo faggot Spike Lee wore this at the Flopscers. Notice the blatant subliminal messages.,1
pk_train_000042,"That’s wrong! Even though they disagree with her beliefs, they have no right to put their hands on a woman",0
pk_train_000043,Fuck off niggers WV is full,1
pk_train_000044," All values, unless otherwise stated, are in US dollars.""",0
pk_train_000045,You should be so meaner to dyslexic people.,1
pk_train_000046,Support gay pride,0
pk_train_000047,This Korean bitch is like a pig. That’s how they made an army of sumos there in their shithole country,1
pk_train_000048,Watching this kid trying to step up and walk with that crutches is the best thing in the world. So idiot,1
pk_train_000049,Do people even care about the color of the persons skin or sexuality in a movie?Its just a bloody movie.,0
pk_train_000050,I don’t like this gender at all. I definitely wouldn’t hire any male bitch at ma shop,1
